date,weighted,close,high,low,open,volume
2015-09-22,229.085001,230.01,233.24,224.07,226.33,16390021.59
2015-09-23,230.820657,229.89,232.2,228.5,230.01,10064288.46
2015-09-24,232.899224,233.76,235.84,229.57,229.89,16797644.6
2015-09-25,235.663665,235.03,237.58,232.7,233.76,14510987.84
2015-09-26,234.552623,234.3,235.71,232.74,235.03,9449846.08
2015-09-27,233.258019,232.5,234.75,231.84,234.3,8429802.53
2015-09-28,237.772066,238.87,240.39,232.37,232.5,15282768.65
2015-09-29,238.018283,236.71,240.39,234.8,238.87,13637645.5
2015-09-30,236.500492,235.93,237.83,234.39,236.71,11946864.9
2015-10-01,237.016327,237.05,238.66,234.7,235.93,12534482.83
2015-10-02,237.339632,236.71,238.45,235.14,237.05,11378441.69
2015-10-03,238.745152,238.58,239.52,236.07,236.71,10338780.01
2015-10-04,239.163467,238.33,277.58,237.51,238.58,7618430.27
2015-10-05,238.925614,240.15,240.53,236.41,238.33,14631928.87
2015-10-06,244.054332,246.14,247.61,239.36,240.15,19242190.45
2015-10-07,245.414476,242.98,247.28,241.65,246.14,15363142.53
2015-10-08,243.747363,242.58,244.79,241.57,242.98,10762328.45
2015-10-09,243.949511,244.04,244.56,241.34,242.58,9897714.74
2015-10-10,245.04324,245.35,245.93,242.89,244.04,9547124.76
2015-10-11,247.008117,247.65,248.26,244.47,245.35,10232454.52
2015-10-12,246.64117,245.35,248.02,244.65,247.65,9961674.07
2015-10-13,247.767579,248.78,251.19,243.11,245.35,18553307.06
2015-10-14,251.666052,252.33,255.06,248.28,248.78,17511356.73
2015-10-15,255.049172,254.44,256.76,251.17,252.33,15465023.84
2015-10-16,261.468187,262.87,267.27,253.93,254.44,24886162.93
2015-10-17,269.807376,269.58,275.41,261.74,262.87,30715446.42
2015-10-18,266.358731,261.67,272.44,259.53,269.58,13921233.73
2015-10-19,263.92778,263.82,265.95,259.89,261.67,15352671.06
2015-10-20,267.902862,269.75,272.12,262.7,263.82,20200355.34
2015-10-21,268.402177,267.11,272.17,263.54,269.75,16006977.1
2015-10-22,273.544712,274.42,278.74,266.8,267.11,25481882.58
2015-10-23,277.283988,276.92,279.77,273.17,274.42,19221822.38
2015-10-24,280.639573,282.56,283.05,277.01,276.92,16875626.47
2015-10-25,289.252026,287.86,295.56,281.75,282.56,32946170.24
2015-10-26,284.049251,285.15,287.62,279.62,287.86,20794049.79
2015-10-27,292.85384,294.66,298.43,285.09,285.15,31003938.2
2015-10-28,301.670964,303.54,307.46,294.02,294.66,35117112.66
2015-10-29,310.934486,313.63,318.48,300.16,303.54,43194878.81
2015-10-30,324.600769,327.12,334.92,310.82,313.63,50796456.31
2015-10-31,319.019332,311.24,333.25,304.6,327.12,33762428.44
2015-11-01,317.822044,322.95,324.34,304.72,311.24,23427549.6
2015-11-02,344.535523,359.28,365.75,319.75,322.95,76864059.45
2015-11-03,387.403763,396.49,416.78,354.58,359.28,163481625.82
2015-11-04,443.612095,400.89,492.8,368.62,396.49,229673024.39
2015-11-05,401.922648,382.7,447.24,366.08,400.89,121763708.16
2015-11-06,371.841209,369.81,396.35,348.84,382.7,94921694.02
2015-11-07,383.352431,385.09,391.75,368.98,369.81,39495095
2015-11-08,380.555233,371.56,389.78,365.49,385.09,35907981.64
2015-11-09,374.989493,380.22,385.11,360.17,371.56,47074440.94
2015-11-10,356.15832,336.69,381.38,323.21,380.22,74896052.37
2015-11-11,314.735514,304.71,341.76,292.38,336.69,83078426.53
2015-11-12,328.774431,333.85,346.13,306.07,304.71,54120828.19
2015-11-13,333.995068,333.77,341.79,323.91,333.85,32480298.94
2015-11-14,335.203664,331.77,369.8,326.35,333.77,23836097.89
2015-11-15,324.286951,317.45,334.78,314.16,331.77,28640663.53
2015-11-16,324.306705,330.21,332.01,314.06,317.45,28260517.56
2015-11-17,335.323139,333.91,342.91,328.15,330.21,32944787.48
2015-11-18,334.306969,335.92,337.39,329.42,333.91,26194853.26
2015-11-19,330.455669,324.98,335.64,323.36,335.92,28543062.16
2015-11-20,319.047152,321.12,327.06,309.48,324.98,35090324.43
2015-11-21,325.638214,324.7,328.42,318.37,321.12,14652996.7
2015-11-22,324.246888,322.78,326.94,319.35,324.7,11915632.14
2015-11-23,323.844548,322.12,325,319.89,322.78,13839023.95
2015-11-24,321.41512,318.35,323.26,315.54,322.12,16282941.39
2015-11-25,324.401402,327.52,330.04,315.69,318.35,25200934.79
2015-11-26,347.227475,353.74,368.92,327.4,327.52,73395832.57
2015-11-27,357.126442,359.52,363.9,345.15,353.74,36955394.2
2015-11-28,355.843524,355.83,360.08,350.49,359.52,19988111.49
2015-11-29,364.369916,370.84,372.84,354.55,355.83,24546100.04
2015-11-30,376.932055,377.97,382.56,367.87,370.84,48913368.38
2015-12-01,364.787813,361.8,379.02,353.66,377.97,40821470.73
2015-12-02,355.664522,359.98,363.43,347.16,361.8,32881089.02
2015-12-03,363.120746,360.31,371.37,355.47,359.98,31673283.3
2015-12-04,360.382699,361.67,363.95,354.31,360.31,21820610.2
2015-12-05,377.071703,386.69,390.28,361.5,361.67,43438102.1
2015-12-06,394.887792,393.38,402.19,382.62,386.69,52068577.43
2015-12-07,393.826128,394.28,398.74,381.69,393.38,38102878.77
