date,Microsoft stock_unscaled
2011-12-15,61
2011-12-16,32
2011-12-17,25
2011-12-18,26
2011-12-19,30
2011-12-20,40
2011-12-21,73
2011-12-22,22
2011-12-23,35
2011-12-24,56
2011-12-25,31
2011-12-26,38
2011-12-27,22
2011-12-28,32
2011-12-29,43
2011-12-30,67
2011-12-31,25
2012-01-01,33
2012-01-02,33
2012-01-03,41
2012-01-04,62
2012-01-05,59
2012-01-06,36
2012-01-07,65
2012-01-08,35
2012-01-09,40
2012-01-10,63
2012-01-11,57
2012-01-12,81
2012-01-13,47
2012-01-14,21
2012-01-15,21
2012-01-16,35
2012-01-17,93
2012-01-18,45
2012-01-19,57
2012-01-20,26
2012-01-21,54
2012-01-22,40
2012-01-23,66
2012-01-24,100
2012-01-25,45
2012-01-26,96
2012-01-27,75
2012-01-28,41
2012-01-29,48
2012-01-30,89
2012-01-31,61
2012-02-01,63
2012-02-02,58
2012-02-03,100
2012-02-04,54
2012-02-05,36
2012-02-06,64
2012-02-07,66
2012-02-08,91
2012-02-09,44
2012-02-10,70
2012-02-11,53
2012-02-12,28
2012-02-13,56
2012-02-14,68
2012-02-15,73
2012-02-16,73
2012-02-17,81
2012-02-18,18
2012-02-19,27
2012-02-20,25
2012-02-21,62
2012-02-22,48
2012-02-23,48
2012-02-24,54
2012-02-25,36
2012-02-26,54
2012-02-27,43
2012-02-28,52
2012-02-29,80
2012-03-01,53
2012-03-02,42
2012-03-03,34
2012-03-04,35
2012-03-05,40
2012-03-06,57
2012-03-07,68
2012-03-08,38
2012-03-09,51
2012-03-10,23
2012-03-11,16
2012-03-12,38
2012-03-13,57
2012-03-14,63
2012-03-15,32
2012-03-16,66
2012-03-17,16
2012-03-18,24
2012-03-19,100
2012-03-20,69
2012-03-21,69
2012-03-22,44
2012-03-23,33
2012-03-24,63
2012-03-25,31
2012-03-26,44
2012-03-27,37
2012-03-28,56
2012-03-29,38
2012-03-30,67
2012-03-31,15
2012-04-01,55
2012-04-02,58
2012-04-03,62
2012-04-04,29
2012-04-05,49
2012-04-06,53
2012-04-07,19
2012-04-08,20
2012-04-09,81
2012-04-10,62
2012-04-11,47
2012-04-12,77
2012-04-13,50
2012-04-14,18
2012-04-15,30
2012-04-16,66
2012-04-17,66
2012-04-18,52
2012-04-19,72
2012-04-20,80
2012-04-21,61
2012-04-22,41
2012-04-23,47
2012-04-24,61
2012-04-25,47
2012-04-26,100
2012-04-27,59
2012-04-28,24
2012-04-29,36
2012-04-30,47
2012-05-01,66
2012-05-02,53
2012-05-03,34
2012-05-04,35
2012-05-05,32
2012-05-06,21
2012-05-07,50
2012-05-08,45
2012-05-09,45
2012-05-10,38
2012-05-11,67
2012-05-12,83
2012-05-13,17
2012-05-14,32
2012-05-15,37
2012-05-16,67
2012-05-17,47
2012-05-18,91
2012-05-19,68
2012-05-20,33
2012-05-21,84
2012-05-22,100
2012-05-23,70
2012-05-24,39
2012-05-25,41
2012-05-26,28
2012-05-27,35
2012-05-28,16
2012-05-29,46
2012-05-30,33
2012-05-31,42
2012-06-01,33
2012-06-02,15
2012-06-03,17
2012-06-04,46
2012-06-05,29
2012-06-06,41
2012-06-07,24
2012-06-08,14
2012-06-09,23
2012-06-10,23
2012-06-11,33
2012-06-12,38
2012-06-13,33
2012-06-14,27
2012-06-15,25
2012-06-16,17
2012-06-17,23
2012-06-18,41
2012-06-19,100
2012-06-20,71
2012-06-21,51
2012-06-22,34
2012-06-23,34
2012-06-24,17
2012-06-25,35
2012-06-26,29
2012-06-27,27
2012-06-28,30
2012-06-29,31
2012-06-30,15
2012-07-01,57
2012-07-02,33
2012-07-03,97
2012-07-04,100
2012-07-05,56
2012-07-06,61
2012-07-07,54
2012-07-08,55
2012-07-09,43
2012-07-10,65
2012-07-11,29
2012-07-12,81
2012-07-13,83
2012-07-14,82
2012-07-15,55
